experiment,hour,date_of_week,date_of_month,device_make,platform_os,browser
1,20,2,8,13,1,1
0,15,4,3,39,1,4
1,22,2,8,13,1,1
1,19,2,8,13,1,1
0,15,4,10,67,1,4
1,7,2,8,13,1,1
0,4,4,10,54,1,7
1,4,3,9,42,1,2
0,15,4,3,40,1,7
0,15,1,7,13,1,1
0,15,4,3,67,1,4
1,5,0,6,13,1,1
1,21,2,8,65,1,2
0,20,5,4,13,1,1
1,14,3,9,26,1,2
1,15,6,5,13,1,1
0,15,4,3,13,1,1
0,15,4,3,13,1,1
0,11,5,4,65,1,7
1,1,4,3,78,1,7
0,1,4,10,32,1,4
0,3,4,10,13,1,1
1,6,6,5,13,1,1
0,3,1,7,13,1,1
0,5,4,10,35,1,4
0,15,4,3,13,1,1
1,8,3,9,13,1,1
1,19,2,8,13,1,2
0,17,5,4,13,1,1
1,17,3,9,71,1,2
0,15,4,3,13,1,1
0,15,4,3,1,1,4
0,10,6,5,13,1,1
0,15,4,3,13,1,1
1,17,6,5,13,1,1
0,6,3,9,13,1,1
0,14,3,9,13,1,1
1,17,2,8,13,1,1
1,10,5,4,13,1,1
0,15,4,3,13,1,1
1,8,5,4,83,1,7
1,3,4,10,13,1,1
1,6,5,4,65,1,2
0,15,4,3,65,1,4
0,16,2,8,13,1,1
0,4,3,9,13,1,1
0,11,5,4,111,0,5
0,13,3,9,67,1,4
0,15,4,3,69,1,7
1,9,4,3,42,1,2
1,6,4,10,13,1,4
0,1,3,9,19,1,1
1,7,2,8,91,1,2
0,19,5,4,13,1,1
0,11,6,5,13,1,1
0,0,6,5,13,1,1
0,20,3,9,32,1,4
1,10,4,3,69,1,2
1,10,4,3,46,1,2
0,18,3,9,13,1,1
1,14,4,10,13,1,4
1,16,5,4,85,1,2
1,17,3,9,13,1,1
0,15,4,10,41,1,7
1,13,2,8,13,1,1
1,9,4,3,13,1,2
1,0,4,10,13,1,1
1,8,4,3,83,1,2
0,15,4,3,70,1,4
0,15,4,3,13,1,1
1,13,1,7,13,1,2
1,3,4,3,13,1,1
1,13,3,9,64,1,4
0,13,5,4,13,1,1
1,15,2,8,13,1,1
0,8,0,6,42,1,7
1,19,3,9,100,1,4
1,16,5,4,13,1,1
1,15,6,5,41,1,7
0,1,0,6,22,1,4
0,10,3,9,18,1,4
1,6,4,10,13,1,1
1,3,1,7,70,1,7
1,0,4,10,13,1,2
0,15,4,3,13,1,1
1,13,5,4,96,1,4
0,15,4,3,67,1,2
0,4,5,4,13,1,1
0,9,3,9,31,1,4
1,6,4,10,13,1,1
1,8,4,3,111,0,5
1,9,3,9,24,1,2
0,5,6,5,13,1,1
0,15,4,3,13,1,1
0,21,2,8,46,1,4
0,2,0,6,84,1,2
0,14,5,4,13,1,1
1,2,1,7,13,1,1
0,12,6,5,13,1,1
0,15,4,3,13,1,1
0,15,4,3,42,1,7
1,2,4,3,13,1,1
1,7,5,4,29,1,2
1,8,6,5,87,1,2
1,2,5,4,13,1,1
1,12,4,10,13,1,1
1,6,0,6,13,1,1
1,8,2,8,13,1,1
0,15,4,3,20,1,2
1,5,4,10,13,1,1
1,8,3,9,23,1,2
1,18,2,8,13,1,1
1,13,4,3,27,1,2
0,21,2,8,13,1,1
0,15,4,3,13,1,1
0,14,2,8,13,1,1
1,0,6,5,13,1,1
1,18,2,8,13,1,1
1,17,3,9,46,1,7
1,8,0,6,13,1,1
0,15,4,3,69,1,7
1,16,2,8,68,1,2
1,20,5,4,13,1,2
1,0,4,3,13,1,1
1,20,2,8,13,1,1
1,8,3,9,13,1,1
0,4,6,5,13,1,1
1,21,3,9,110,1,2
0,12,3,9,65,1,4
0,2,4,10,50,1,7
0,15,4,3,13,1,1
0,15,4,3,13,1,1
1,8,3,9,13,1,1
0,12,3,9,13,1,1
1,10,3,9,66,1,7
0,15,4,3,63,1,7
1,7,6,5,13,1,2
1,10,5,4,13,1,1
1,19,2,8,13,1,2
0,7,4,10,65,1,4
1,10,4,3,70,1,7
0,6,1,7,13,1,1
1,18,2,8,13,1,1
0,15,4,3,13,1,1
0,8,4,10,70,1,2
0,19,4,3,111,1,5
1,14,5,4,13,1,1
1,6,3,9,13,1,1
0,21,1,7,13,1,1
1,11,5,4,13,1,1
0,15,4,3,13,1,1
1,10,0,6,18,1,2
0,11,3,9,42,1,7
1,13,1,7,52,1,4
0,15,4,3,13,1,1
1,0,0,6,32,1,2
1,11,4,3,13,1,4
0,15,4,3,46,1,7
1,1,4,3,13,1,1
1,0,6,5,13,1,1
0,3,4,10,99,1,2
0,16,3,9,13,1,1
1,3,6,5,13,1,1
0,15,6,5,13,1,1
0,15,4,3,13,1,1
1,7,2,8,13,1,1
1,15,4,10,60,1,2
1,15,2,8,23,1,1
1,21,3,9,67,1,2
1,11,4,10,13,1,1
0,5,4,10,13,1,1
1,9,4,3,0,1,2
1,10,5,4,60,1,2
0,15,4,3,32,1,4
1,4,1,7,13,1,1
1,11,3,9,13,1,1
0,12,4,10,20,1,1
0,10,6,5,67,1,4
1,15,2,8,13,1,1
1,19,1,7,13,1,1
0,6,3,9,13,1,1
1,9,5,4,13,1,1
0,15,4,3,13,1,1
1,16,2,8,13,1,1
1,0,4,3,13,1,1
0,15,4,3,42,1,2
1,7,4,3,13,1,1
0,1,0,6,84,1,7
1,15,2,8,13,1,1
1,16,2,8,13,1,1
0,8,5,4,13,1,1
0,15,4,3,7,1,2
0,20,5,4,13,1,1
0,14,4,10,111,0,6
0,12,4,10,1,1,4
0,0,3,9,13,1,1
1,7,5,4,13,1,1
0,21,2,8,20,1,1
1,16,5,4,60,1,2
0,15,4,3,13,1,1
0,15,4,3,13,1,1
1,3,4,3,71,1,2
0,7,6,5,72,1,4
0,11,5,4,13,1,1
1,22,2,8,13,1,1
1,18,2,8,13,1,1
0,15,4,3,13,1,1
0,7,4,10,65,1,2
1,6,1,7,13,1,2
0,1,6,5,40,1,7
0,3,0,6,41,1,7
1,7,2,8,57,1,7
1,10,6,5,70,1,2
0,15,2,8,13,1,1
1,9,1,7,60,1,7
1,11,6,5,13,1,1
0,10,0,6,13,1,1
1,9,4,10,67,1,7
0,15,4,3,13,1,1
0,20,3,9,63,1,4
1,1,4,10,57,1,2
0,15,4,3,13,1,1
1,5,4,10,13,1,1
1,8,3,9,13,1,1
1,9,4,3,89,1,2
1,16,2,8,13,1,1
1,19,6,5,47,1,2
0,10,3,9,70,1,4
1,9,1,7,13,1,4
1,19,2,8,13,1,1
0,13,2,8,71,1,4
0,18,2,8,13,1,1
0,15,4,3,13,1,1
0,10,6,5,67,1,2
1,3,1,7,91,1,7
1,13,3,9,26,1,2
1,1,4,10,16,1,1
1,6,3,9,13,1,1
1,8,2,8,56,1,7
0,10,1,7,13,1,1
0,15,4,3,67,1,7
0,3,6,5,13,1,1
0,4,4,10,13,1,1
1,14,5,4,67,1,2
1,18,3,9,78,1,7
1,5,0,6,13,1,1
1,21,3,9,13,1,1
1,5,3,9,13,1,1
0,0,4,10,65,1,4
0,2,5,4,70,1,2
0,4,1,7,13,1,1
1,11,5,4,52,1,2
0,15,4,3,13,1,1
1,19,3,9,41,1,7
1,6,5,4,13,1,2
0,15,4,3,67,1,4
0,11,4,10,13,1,1
0,15,4,3,41,1,7
1,7,0,6,74,1,4
0,15,4,3,13,1,1
1,4,3,9,71,1,2
1,14,6,5,42,1,7
1,12,4,3,30,1,2
1,11,4,3,13,1,1
1,18,2,8,61,1,2
0,15,4,3,13,1,1
0,15,4,3,13,1,1
1,6,0,6,13,1,1
0,7,4,10,13,1,1
1,6,5,4,13,1,1
1,9,4,3,13,1,2
0,15,4,3,44,1,7
0,15,4,3,50,1,4
0,5,3,9,111,0,5
0,19,6,5,13,1,1
0,6,1,7,13,1,1
1,11,4,3,13,1,1
0,7,3,9,13,1,1
0,6,5,4,13,1,1
0,15,4,3,111,0,6
1,21,6,5,13,1,1
1,11,4,3,13,1,1
0,15,4,3,13,1,1
1,18,5,4,13,1,1
1,13,6,5,68,1,7
0,16,5,4,13,1,1
0,18,2,8,72,1,4
0,15,4,3,13,1,1
0,15,3,9,45,1,7
1,7,3,9,13,1,1
0,18,3,9,69,1,7
0,15,4,3,47,1,4
1,6,6,5,13,1,1
1,5,2,8,34,1,2
1,2,3,9,111,0,5
1,8,4,3,13,1,1
0,18,6,5,13,1,1
1,6,5,4,13,1,1
0,7,2,8,13,1,1
1,17,3,9,62,1,2
1,7,6,5,13,1,1
1,10,4,3,81,1,2
1,15,2,8,13,1,1
0,15,4,3,5,1,4
1,6,3,9,67,1,7
0,15,4,3,92,1,4
1,8,6,5,67,1,1
0,16,1,7,13,1,1
1,3,5,4,13,1,1
0,9,5,4,13,1,1
1,6,6,5,67,1,4
0,15,4,3,13,1,1
1,20,3,9,2,1,4
0,15,4,3,13,1,1
0,8,2,8,70,1,4
0,14,2,8,67,1,7
1,1,1,7,94,1,2
1,9,0,6,13,1,1
0,10,4,10,109,1,4
0,20,2,8,13,1,1
0,22,2,8,13,1,1
1,14,5,4,13,1,1
1,13,5,4,101,1,2
1,9,4,10,13,1,1
1,21,3,9,13,1,1
1,17,3,9,13,1,1
1,6,5,4,40,1,2
1,11,5,4,25,1,1
1,13,3,9,13,1,1
0,9,1,7,64,1,4
0,15,4,3,78,1,7
0,14,4,10,98,1,4
1,22,3,9,52,1,2
0,13,1,7,13,1,1
0,15,4,3,13,1,1
0,15,4,3,13,1,1
1,14,1,7,13,1,1
1,3,4,10,13,1,1
1,20,1,7,69,1,2
0,15,5,4,63,1,7
0,21,1,7,13,1,1
0,15,4,3,22,1,4
0,15,4,3,104,1,4
1,10,3,9,13,1,1
1,19,2,8,13,1,1
0,4,6,5,13,1,1
0,15,4,3,74,1,4
0,11,5,4,13,1,1
0,15,4,3,13,1,1
0,15,4,3,78,1,7
0,9,5,4,13,1,1
0,15,4,3,13,1,1
1,21,2,8,46,1,2
1,20,1,7,46,1,2
0,1,3,9,13,1,1
0,8,0,6,13,1,1
0,15,4,3,78,1,7
0,15,4,3,13,1,1
1,20,3,9,13,1,1
1,16,4,10,13,1,1
0,15,4,3,54,1,4
1,4,6,5,13,1,1
1,15,2,8,42,1,7
0,13,2,8,13,1,1
1,8,3,9,13,1,1
0,6,5,4,67,1,4
0,5,4,10,42,1,7
0,21,2,8,8,1,2
1,3,0,6,69,1,7
1,13,3,9,13,1,1
0,14,5,4,52,1,7
0,15,4,3,45,1,7
1,17,2,8,68,1,4
1,7,4,3,13,1,1
1,7,0,6,13,1,1
1,2,5,4,1,1,4
0,7,5,4,69,1,7
0,21,3,9,13,1,1
1,16,5,4,13,1,1
1,23,5,4,13,1,1
1,9,4,10,13,1,4
0,15,4,3,34,1,4
1,5,4,3,13,1,1
1,11,3,9,13,1,1
0,15,4,3,13,1,1
1,10,5,4,68,1,4
0,16,2,8,13,1,1
1,23,3,9,13,1,1
0,5,1,7,25,1,1
0,15,4,3,80,1,7
1,12,4,3,47,1,2
1,14,5,4,13,1,1
0,11,3,9,13,1,1
1,8,0,6,36,1,2
1,12,3,9,13,1,1
1,19,6,5,13,1,1
0,18,3,9,13,1,1
1,3,4,3,67,1,2
0,8,6,5,59,1,7
0,15,4,3,50,1,7
0,15,4,3,63,1,7
1,9,6,5,26,1,2
0,15,4,3,13,1,1
1,1,4,10,13,1,1
0,15,4,3,90,1,2
1,16,5,4,13,1,1
1,5,4,10,24,1,2
0,7,4,10,13,1,2
0,5,3,9,67,1,7
0,15,4,3,13,1,2
1,11,6,5,45,1,7
1,10,6,5,18,1,2
1,9,6,5,13,1,1
0,2,4,10,13,1,1
1,10,5,4,20,1,1
0,22,5,4,20,1,4
1,9,1,7,13,1,2
1,7,4,10,13,1,1
1,15,4,10,13,1,1
1,8,4,10,43,1,2
1,4,4,10,13,1,1
1,17,3,9,68,1,2
1,7,6,5,13,1,1
1,18,3,9,13,1,1
0,15,4,3,13,1,1
1,1,3,9,13,1,1
1,13,4,3,55,1,2
0,14,3,9,70,1,4
0,0,5,4,105,1,4
0,10,2,8,13,1,1
1,4,4,10,13,1,1
1,6,1,7,47,1,2
0,7,1,7,46,1,7
0,15,4,3,13,1,1
0,15,4,3,13,1,1
0,9,1,7,13,1,1
1,2,4,10,13,1,1
0,15,4,3,13,1,1
0,15,4,3,13,1,1
0,12,3,9,13,1,1
0,1,6,5,65,1,7
0,9,4,10,13,1,1
0,15,4,3,13,1,1
1,12,4,3,13,1,1
0,15,4,3,13,1,1
1,9,4,3,13,1,1
1,19,2,8,13,1,1
1,2,0,6,25,1,1
1,14,4,3,13,1,1
1,5,3,9,13,1,1
1,6,6,5,13,1,1
1,12,6,5,13,1,1
1,2,4,10,13,1,1
1,10,5,4,1,1,2
1,16,3,9,13,1,1
1,0,4,10,71,1,4
1,14,4,3,13,1,1
1,5,6,5,65,1,2
0,15,4,3,13,1,1
0,12,5,4,1,1,4
1,20,2,8,13,1,1
1,4,4,10,18,1,4
1,20,2,8,13,1,1
0,16,1,7,32,1,4
0,15,5,4,65,1,4
1,20,2,8,13,1,1
0,9,5,4,13,1,1
0,6,5,4,13,1,1
1,19,1,7,67,1,7
1,19,2,8,13,1,1
0,14,4,10,13,1,1
0,15,4,3,13,1,1
1,5,0,6,47,1,7
1,7,2,8,94,1,4
1,18,2,8,13,1,1
1,22,1,7,13,1,1
0,15,4,3,13,1,1
0,15,4,3,13,1,1
1,20,2,8,13,1,1
0,11,5,4,13,1,1
1,20,2,8,97,1,2
1,7,4,3,13,1,1
1,4,6,5,22,1,2
1,18,2,8,65,1,2
0,15,4,3,53,1,4
1,18,3,9,13,1,1
0,21,2,8,13,1,1
1,18,2,8,84,1,2
1,15,3,9,13,1,1
0,17,5,4,13,1,1
1,18,3,9,67,1,2
0,16,6,5,13,1,1
1,12,3,9,13,1,1
1,12,3,9,13,1,1
0,8,3,9,13,1,1
0,15,4,3,13,1,1
0,5,6,5,13,1,1
0,4,6,5,67,1,4
1,5,1,7,13,1,1
0,14,2,8,13,1,1
0,15,4,3,73,1,4
0,8,0,6,13,1,1
1,22,1,7,13,1,1
0,4,3,9,13,1,1
0,15,4,3,88,1,2
1,23,3,9,13,1,1
1,6,3,9,13,1,1
1,6,2,8,13,1,1
1,5,5,4,13,1,1
0,18,6,5,67,1,4
0,12,4,10,50,1,2
1,15,2,8,13,1,2
1,5,2,8,13,1,1
0,2,3,9,13,1,1
0,11,3,9,84,1,7
1,19,5,4,13,1,1
1,6,6,5,13,1,1
0,12,3,9,41,1,1
1,22,2,8,73,1,4
0,15,4,3,13,1,1
0,15,4,3,71,1,7
0,15,4,3,59,1,7
1,11,5,4,74,1,2
0,15,2,8,46,1,7
1,8,3,9,34,1,2
0,13,4,10,13,1,1
1,3,5,4,25,1,1
1,8,4,10,13,1,1
1,12,1,7,13,1,1
0,12,6,5,75,1,7
0,20,1,7,13,1,1
0,13,5,4,13,1,1
0,12,5,4,111,0,5
0,9,1,7,13,1,1
0,6,4,10,13,1,1
0,12,3,9,13,1,1
1,7,4,3,95,1,2
1,22,2,8,13,1,1
1,15,2,8,13,1,2
1,19,6,5,13,1,1
0,15,4,3,13,1,1
0,19,6,5,70,1,7
0,18,6,5,77,1,1
1,20,2,8,77,1,7
0,2,5,4,63,1,4
1,0,1,7,24,1,2
0,15,4,3,111,0,5
1,11,4,10,13,1,1
1,1,1,7,67,1,2
0,10,3,9,13,1,1
1,13,3,9,36,1,2
0,5,6,5,13,1,1
0,15,4,3,63,1,4
0,4,4,10,13,1,1
1,12,4,3,13,1,1
0,15,4,3,108,1,2
1,1,4,3,51,1,2
1,18,2,8,21,1,4
1,1,4,3,13,1,1
0,15,4,3,41,1,1
1,7,4,3,13,1,1
